Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE
Date,,,,,,,,,,,,
2011-04-20,44.354820251464844,11.895528793334961,64.38999938964844,19.34535026550293,64.54000091552734,19.81024742126465,63.18000030517578,19.33586311340332,63.209999084472656,19.620492935180664,26732100,68271164
2011-04-21,44.134395599365234,11.545483589172363,64.06999969482422,18.776090621948242,64.30000305175781,19.497154235839844,63.77000045776367,18.121442794799805,63.810001373291016,19.42125129699707,11688100,146497146
2011-04-25,44.16194152832031,11.749676704406738,64.11000061035156,19.108158111572266,64.19999694824219,19.136621475219727,63.5099983215332,18.880455017089844,63.650001525878906,18.927894592285156,7226900,47490500
2011-04-26,44.74058151245117,11.77884578704834,64.94999694824219,19.155597686767578,65.30000305175781,19.28842544555664,64.06999969482422,18.975332260131836,64.06999969482422,19.127134323120117,14500000,38681800
2011-04-27,45.16765213012695,12.035547256469727,65.56999969482422,19.573055267333984,65.5999984741211,19.686906814575195,63.400001525878906,19.17457389831543,63.45000076293945,19.22201156616211,23777500,48427084
2011-04-28,45.03677749633789,12.152220726013184,65.37999725341797,19.762807846069336,65.73999786376953,19.791271209716797,64.93000030517578,19.573055267333984,65.38999938964844,19.592029571533203,13091400,36359206
2011-04-29,45.2709846496582,12.233901977539062,65.72000122070312,19.8956356048584,65.97000122070312,19.98102569580078,65.4000015258789,19.696395874023438,65.58999633789062,19.781784057617188,12100000,45849000
2011-05-02,45.60852813720703,12.263068199157715,66.20999908447266,19.943073272705078,66.30999755859375,20.11385154724121,65.80999755859375,19.88614845275879,65.91999816894531,20.056926727294922,15456200,40254473
2011-05-03,45.64297103881836,11.924696922302246,66.26000213623047,19.392789840698242,66.45999908447266,19.92409896850586,66.01000213623047,19.041746139526367,66.11000061035156,19.8956356048584,13105500,114748453
2011-05-04,45.236549377441406,12.041377067565918,65.66999816894531,19.582542419433594,66.31999969482422,19.611005783081055,65.37000274658203,19.29791259765625,66.0,19.383302688598633,13408900,53470579
2011-05-05,44.781917572021484,11.895528793334961,65.01000213623047,19.34535026550293,65.61000061035156,19.611005783081055,64.80000305175781,19.24098777770996,65.44999694824219,19.554079055786133,14925200,44522119
2011-05-06,44.96099853515625,11.988873481750488,65.2699966430664,19.497154235839844,65.5,19.573055267333984,65.12000274658203,19.354839324951172,65.25,19.440227508544922,11904600,35665990
2011-05-09,45.208984375,12.018036842346191,65.62999725341797,19.544591903686523,65.76000213623047,19.677419662475586,65.06999969482422,19.40227699279785,65.11000061035156,19.478178024291992,9003100,32666622
2011-05-10,45.298545837402344,12.169722557067871,65.76000213623047,19.791271209716797,65.80000305175781,19.88614845275879,65.27999877929688,19.601518630981445,65.61000061035156,19.629980087280273,9693100,35154694
2011-05-11,45.856502532958984,12.140271186828613,66.56999969482422,19.554079055786133,66.73999786376953,19.772296905517578,65.80999755859375,19.468690872192383,66.31999969482422,19.705881118774414,19986100,45363633
2011-05-12,46.28359603881836,12.30520248413086,67.19000244140625,19.819734573364258,67.37000274658203,19.905122756958008,65.81999969482422,19.525617599487305,66.04000091552734,19.620492935180664,15622200,37957386
2011-05-13,45.89094161987305,12.322876930236816,66.62000274658203,19.84819793701172,67.25,19.91461181640625,65.94999694824219,19.715370178222656,67.08999633789062,19.876659393310547,11700900,38654712
2011-05-16,45.718746185302734,12.358217239379883,66.37000274658203,19.905122756958008,66.79000091552734,20.04743766784668,66.19000244140625,19.715370178222656,66.41000366210938,19.772296905517578,11513200,48333594
